1;214;107,5;20,94;2
1;254;106,67;20,94;2
1;256;107,5;20,94;2
1;256;108,33;20,94;2
1;256;106,67;20,94;2
1;262;109,17;20,94;2
1;158;119,17;20,94;2
1;158;116,67;20,94;2
1;167;120,83;20,94;2
1;244;122,5;20,94;2
1;244;122,5;20,94;2
1;244;122,5;20,94;2
1;244;122,5;20,94;2
1;243;120,83;20,94;2
1;243;144,17;20,94;2
1;243;238,33;20,94;2
1;244;236,67;20,94;2
1;244;216,67;20,94;2
1;244;221,67;20,94;2
1;246;205,83;20,94;2
1;246;202,5;20,94;2
1;232;203,33;20,94;2
1;248;198,33;20,94;2
1;266;200;21;2
1;266;202,5;20,94;2
1;206;194,17;20,94;2
1;206;205;20,94;2
1;206;230,83;21;2
1;206;233,33;21;2
1;206;236,67;20,94;2
1;268;240,83;21;2
1;268;244,17;20,94;2
1;246;240,83;21;2
1;156;236,67;21;2
1;246;236,67;21;2
1;186;239,17;21;2
1;186;239,17;21;2
1;209;240;20,94;2
1;245;243,33;21;2
1;209;242,5;20,94;2
1;209;242,5;20,94;2
1;209;240,83;21;2
1;209;240,83;21;2
1;209;240;20,94;2
1;190;239,17;21;2
1;190;240;21;2
1;190;240,83;20,94;2
1;190;240,83;21;2
1;190;241,67;20,94;2
1;192;240,83;20,94;2
1;205;240,83;20,94;2
1;205;240,83;20,94;2
1;213;239,17;20,94;2
1;229;239,17;21;2
1;213;239,17;21;2
1;229;239,17;20,94;2
1;246;239,17;21;2
1;247;240,83;21;2
1;247;241,67;20,94;2
1;247;243,33;20,94;2
1;286;242,5;20,94;2
1;286;242,5;20,94;2
1;286;241,67;20,94;2
1;220;240;20,94;2
1;219;240;20,94;2
1;219;239,17;20,94;2
1;219;239,17;20,94;2
1;219;239,17;20,94;2
0;232;238,33;20,94;2
0;238;238,33;20,94;2
0;232;238,33;21;2
0;261;239,17;20,94;2
0;272;237,5;20,94;2
0;272;235,83;20,94;2
0;230;235;20,94;2
0;272;234,17;21;2
0;280;232,5;20,94;2
0;261;230;20,94;2
0;261;229,17;21;2
0;261;227,5;21;2
0;162;226,67;20,94;2
0;162;228,33;20,94;2
0;162;228,33;20,94;2
0;183;230;20,94;2
0;196;230,83;20,94;2
0;228;232,5;21;2
0;198;233,33;20,94;2
0;198;235;21;2
